No.,分類,試験項目,期待結果,実際の結果,判定,備考
1,接続,APIヘルスチェック,社内APIがHTTPSで応答しサーバー時刻を返す,,未実施,
2,認証,安全環境室ログイン,安全環境室管理者がログインできる,,未実施,
3,認証,事業所利用者ログイン,所属事業所の利用者がログインできる,,未実施,
4,権限,事業所閲覧範囲,事業所利用者は所属事業所のみ閲覧できる,,未実施,
5,権限,安全環境室横断閲覧,安全環境室は全事業所を閲覧できる,,未実施,
6,申請番号,申請番号登録,申請番号を登録し別端末から閲覧できる,,未実施,
7,申請番号,同時更新競合,古い版の更新が競合として拒否される,,未実施,
8,写真,写真登録,上限内の写真を登録できる,,未実施,
9,写真,写真上限,枚数・容量上限超過時に登録が拒否される,,未実施,
10,同期,オフライン後の同期,再接続時に同期待ちデータを送信できる,,未実施,
11,同期,二重送信防止,同じ同期IDを再送しても二重登録されない,,未実施,
12,監査,監査ログ,登録・更新・削除・認証操作が記録される,,未実施,
13,復旧,バックアップ,DBと写真のバックアップが作成される,,未実施,
14,復旧,復元試験,検証環境へ復元し整合性確認に合格する,,未実施,
15,セキュリティ,TLS期限確認,証明書期限を監視できる,,未実施,
